id,name,category,job_value,tier,note
french-drain-installation,French drain installation,drainage,$$$,A,Founding niche; rainfall + soil modules; panic demand after floods
yard-drainage-systems,Yard drainage systems,drainage,$$$,A,"Broader umbrella: swales, catch basins, regrading"
land-clearing-forestry-mulching,Land clearing & forestry mulching,earthwork,$$$$,A,Founding niche; rural metros wide open; equipment barrier = scarcity
pool-removal-fill-in,Pool removal & fill-in,earthwork,$$$$,A,Nobody wants the pool; demo + engineering + permits; zero brand competition
limewash-painting,Limewash painting,finishes,$$$,A,Founding niche; trend still elevated; climate module strong
roman-clay-finishes,Roman clay finishes,finishes,$$,A,Same specialists as venetian plaster; shared cluster pages
venetian-plaster,Venetian plaster,finishes,$$$,A,"Premium finish, providers rare, consumers know the term"
wallpaper-installation,Wallpaper installation,finishes,$$,A,Grasscloth/mural hangers are genuinely scarce; roaring back in demand
heated-driveways,Heated driveways,hardscape,$$$$,A,Snow-melt systems; snow-climate module is the perfect data wedge
herringbone-clay-paver-driveways,Herringbone & clay paver driveways,hardscape,$$$$,A,Founding niche; pattern-work scarcity; design-led demand
historic-window-restoration,Historic window restoration,heritage,$$$$,A,Sash restoration vs replacement; preservation-district module is a moat
popcorn-ceiling-removal,Popcorn ceiling removal,interior,$$,A,Asbestos-era module; huge search volume; crews avoid it = scarcity
sauna-builders,Sauna builders,interior,$$$$,A,Founding niche; wellness boom; barrel/infrared/traditional
pickleball-court-construction,Pickleball court construction,outdoor,$$$$,A,The hottest court niche in NA; HOA + backyard demand; installer scarcity
pond-water-feature-builders,Pond & water feature builders,outdoor,$$$$,A,"Koi ponds, waterfalls; certified-installer scarcity; maintenance recurring revenue"
slate-roof-repair,Slate roof repair,roofing,$$$$,A,Almost nobody does it; heritage stock module; huge job values
christmas-light-installation,Christmas light installation,seasonal,$$,A,Founding niche; frost-window module; rank-and-rent proven
permanent-holiday-lighting,Permanent holiday lighting,seasonal,$$$,A,Track-style eave lighting (year-round); the fastest-growing lighting niche
basement-egress-windows,Basement egress windows,structural,$$$,A,Code-driven (legal bedrooms); permit module perfect; scarce diggers
ev-charger-installation,EV charger installation,systems,$$,A,Founding niche; rebate module; panel-capacity education
radon-mitigation,Radon mitigation,systems,$$,A,Founding niche; certified-pro registry; real-estate deadline demand
